Distance_m,RX_Earth,RX_Mars_Clear,RX_Mars_Dust,RX_Mars_Sat_Clear,RX_Mars_Sat_Dust,RX_Prop_Clear,RX_Prop_Dust
10.0,-45.06216668957851,-50.06216668957851,-58.063666689578504,-120.80459178879727,-124.80459178879727,-112.76395521233474,-113.26395521233474
10.848096388007427,-46.12277275018457,-51.299540426952255,-59.30116764141045,-120.80459178965046,-124.80459178965046,-112.76395521318793,-113.26395521318793
11.768119524349984,-47.183378810790636,-52.536914164325985,-60.538679382254635,-120.80459179065454,-124.80459179065454,-112.76395521419201,-113.26395521419201
12.766169490574075,-48.2439848713967,-53.77428790169973,-61.77620282712332,-120.80459179183615,-124.80459179183615,-112.76395521537361,-113.26395521537361
13.848863713938732,-49.30459093200276,-55.01166163907346,-63.013738968630555,-120.80459179322662,-124.80459179322662,-112.76395521676409,-113.26395521676409
15.023380843318588,-50.36519699260881,-56.2490353764472,-64.2512888835737,-120.804591794863,-124.804591794863,-112.76395521840047,-113.26395521840047
16.297508346206442,-51.425803053214885,-57.48640911382093,-65.48885374007287,-120.80459179678871,-124.80459179678871,-112.76395522032618,-113.26395522032618
17.6796941424003,-52.48640911382093,-58.72378285119468,-66.72643480531605,-120.80459179905489,-124.80459179905489,-112.76395522259236,-113.26395522259236
19.179102616724887,-53.547015174426996,-59.96115658856842,-67.96403345396092,-120.80459180172178,-124.80459180172178,-112.76395522525925,-113.26395522525925
20.805675382171703,-54.60762123503306,-61.19853032594215,-69.20165117724949,-120.8045918048602,-124.8045918048602,-112.76395522839766,-113.26395522839766
22.570197196339205,-55.66822729563912,-62.435904063315895,-70.43928959289534,-120.80459180855351,-124.80459180855351,-112.76395523209098,-113.26395523209098
24.484367468222267,-56.72883335624518,-63.673277800689625,-71.67695045580984,-120.80459181289984,-124.80459181289984,-112.76395523643731,-113.26395523643731
26.560877829466868,-57.789439416851245,-64.91065153806336,-72.91463566973778,-120.80459181801467,-124.80459181801467,-112.76395524155214,-113.26395524155214
28.813496284414608,-58.85004547745731,-66.14802527543709,-74.15234729987975,-120.80459182403388,-124.80459182403388,-112.76395524757135,-113.26395524757135
31.25715849688235,-59.910651538063355,-67.38539901281082,-75.39008758658535,-120.80459183111734,-124.80459183111734,-112.7639552546548,-113.2639552546548
33.908066818940526,-60.97125759866942,-68.62277275018457,-76.6278589602074,-120.80459183945322,-124.80459183945322,-112.76395526299069,-113.26395526299069
36.783797718286344,-62.03186365927548,-69.86014648755831,-77.86566405721605,-120.804591849263,-124.804591849263,-112.76395527280047,-113.26395527280047
39.90341831649379,-63.09246971988154,-71.09752022493204,-79.10350573767951,-120.8045918608073,-124.8045918608073,-112.76395528434477,-113.26395528434477
43.28761281083057,-64.1530757804876,-72.33489396230577,-80.3413871042274,-120.80459187439274,-124.80459187439274,-112.76395529793021,-113.26395529793021
46.95881961786354,-65.21368184109366,-73.57226769967951,-81.57931152262219,-120.80459189038024,-124.80459189038024,-112.7639553139177,-113.2639553139177
50.9413801481638,-66.27428790169972,-74.80964143705326,-82.81728264407548,-120.80459190919453,-124.80459190919453,-112.763955332732,-113.263955332732
55.2617001985409,-67.33489396230578,-76.04701517442699,-84.05530442945677,-120.80459193133538,-124.80459193133538,-112.76395535487285,-113.26395535487285
