t_s,dt_s
0.0,600.0
600.0,600.0
1200.0,600.0
1800.0,18.06357320491527
1818.0635732049152,16.25721588442375
1834.3207890893389,14.631494295981383
1848.9522833853202,13.168344866383245
1862.1206282517035,11.851510379744923
1873.9721386314484,10.66635934177043
1884.6384979732188,9.599723407593387
1894.2382213808123,8.639751066834037
1902.8779724476462,7.775775960150645
1910.653748407797,6.998198364135578
1917.6519467719324,6.298378527722025
1923.9503252996544,1.0
1924.9503252996544,1.0
1925.9503252996544,1.0
1926.9503252996544,1.0
1927.9503252996544,1.0
1928.9503252996544,1.0
1929.9503252996544,1.0
1930.9503252996544,1.0
1931.9503252996544,1.0
1932.9503252996544,1.0
1933.9503252996544,1.0
1934.9503252996544,1.0
1935.9503252996544,1.0
1936.9503252996544,1.0
1937.9503252996544,1.0
1938.9503252996544,1.0
1939.9503252996544,1.0
1940.9503252996544,1.0
1941.9503252996544,1.0
1942.9503252996544,1.0
1943.9503252996544,1.0
1944.9503252996544,1.0
1945.9503252996544,1.0
1946.9503252996544,1.0
1947.9503252996544,1.0
1948.9503252996544,1.0
1949.9503252996544,1.0
1950.9503252996544,1.0
1951.9503252996544,1.0
1952.9503252996544,1.0
1953.9503252996544,1.0
1954.9503252996544,1.0
1955.9503252996544,1.0
1956.9503252996544,1.0
1957.9503252996544,1.0
1958.9503252996544,1.0
1959.9503252996544,1.0
1960.9503252996544,1.0
1961.9503252996544,1.0
1962.9503252996544,1.0
1963.9503252996544,1.0
1964.9503252996544,1.0
1965.9503252996544,1.0
1966.9503252996544,1.0
1967.9503252996544,1.0
1968.9503252996544,1.0
1969.9503252996544,1.0
1970.9503252996544,1.0
1971.9503252996544,1.0
1972.9503252996544,1.0
1973.9503252996544,1.0
1974.9503252996544,1.0
1975.9503252996544,1.0
1976.9503252996544,1.0
1977.9503252996544,1.0
1978.9503252996544,1.0
1979.9503252996544,1.0
1980.9503252996544,1.0
1981.9503252996544,1.0
1982.9503252996544,1.0
1983.9503252996544,1.0
1984.9503252996544,1.0
1985.9503252996544,1.0
1986.9503252996544,1.0
1987.9503252996544,1.0
1988.9503252996544,1.0
1989.9503252996544,1.0
1990.9503252996544,1.0
1991.9503252996544,1.0
1992.9503252996544,1.0
1993.9503252996544,1.0
1994.9503252996544,1.0
1995.9503252996544,1.0
1996.9503252996544,1.0
1997.9503252996544,1.0
1998.9503252996544,1.0
1999.9503252996544,1.0
2000.9503252996544,1.0
2001.9503252996544,1.0
